mag_x (uT),mag_y (uT),mag_z (uT)
3.269747873687220618e+01,1.417581588275504401e-02,3.778838955551202616e+01
3.269307607872553234e+01,1.343422877026906152e-02,3.779921873008741784e+01
3.269755912989626978e+01,-1.047251756026936972e-02,3.779561641706733610e+01
3.268166305905282343e+01,1.368877114858587166e-02,3.776473222028184296e+01
3.269201139060184147e+01,2.162097434978900792e-02,3.778507756692859942e+01
3.269411374059208697e+01,-9.578524016386126549e-03,3.778813002849143743e+01
3.270304968936515166e+01,-6.444690504466887848e-03,3.778408983773417162e+01
3.268575843726750207e+01,-3.375723371930795802e-03,3.779237160804242990e+01
3.269418036593268795e+01,-4.134067556864492836e-03,3.777931534438175021e+01
3.268487781875693088e+01,1.292145276147945582e-02,3.780810575078519520e+01
3.269838304370230020e+01,-7.396492853043319313e-03,3.780504550176924994e+01
3.268935861456215264e+01,1.536969241370862022e-02,3.779457747362994269e+01
3.270721759819770824e+01,5.906201953378107175e-03,3.780076034304648402e+01
3.271526806455597125e+01,1.104370685444343563e-04,3.778139108016229386e+01
3.269455250760718457e+01,-1.236173397929636077e-02,3.780059214037380144e+01
3.269745194822347401e+01,3.373672182311978317e-03,3.779474490110723650e+01
3.269845412066877799e+01,-2.626929657970746967e-03,3.777811571178335015e+01
3.269640876391950712e+01,1.587440128682621274e-03,3.778719089712082990e+01
3.268346645174059972e+01,4.873503213032088013e-03,3.778597372399835308e+01
3.267576806456212068e+01,-1.922041269027255361e-02,3.777326692854446577e+01
3.268367482945196656e+01,-4.870073485924793395e-03,3.778487748606575281e+01
3.268207237806095122e+01,-1.815140379760918007e-02,3.779564739020870690e+01
3.268649734883941704e+01,-1.152728913821107586e-02,3.779537866678973757e+01
3.267762798043562356e+01,4.698169636478747614e-03,3.780457790892505443e+01
3.268614102501233987e+01,-1.040319079424603492e-02,3.780885385546904587e+01
3.269848722657803819e+01,4.821959249215768475e-03,3.779091404027128931e+01
3.269598983796412028e+01,2.340619074666823885e-03,3.779813880974464269e+01
3.270661979102363404e+01,2.579007790461634430e-04,3.777700896024414590e+01
3.269774857637667509e+01,1.816879357944048401e-04,3.778448209053495077e+01
3.269183172947658278e+01,-6.964514795366246597e-03,3.779540572599045589e+01
3.268747225353101271e+01,1.616875883000205155e-02,3.779267752179455186e+01
3.270821959778169941e+01,4.040275428415525567e-03,3.780343424750341796e+01
3.268872984233971124e+01,1.648144926953792845e-03,3.779469092145914288e+01
3.268744937829708874e+01,-1.010463467574851393e-02,3.777671513862527775e+01
3.270272537123482692e+01,-2.193313287248405304e-03,3.777249154812159304e+01
3.271035214386839129e+01,-1.146232062391609567e-02,3.777696951324384145e+01
3.267927268830839438e+01,-7.371142092182744743e-03,3.778701130320521884e+01
3.268680172948651119e+01,2.636435320341001462e-03,3.778302049200698320e+01
3.270695548696027544e+01,6.747703534088168517e-03,3.779535859863407410e+01
3.267870599540707133e+01,-6.401741255232591861e-03,3.777010871653146040e+01
3.269006322803882369e+01,-2.318857624307132156e-03,3.778002066780266688e+01
3.268624022748456071e+01,-7.794057352423285935e-03,3.779787907110272016e+01
3.268902117324148549e+01,-2.384042867472630357e-04,3.777722182329772949e+01
