gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.014415891979776434e-02,-5.873926826329525092e-02,-5.242050349219724154e-02
3.956958050848042446e-02,-1.376789899103523715e-02,1.423934620795360047e-02
8.873330704317387851e-02,-6.968012606776100015e-02,-1.148600084724025507e-02
-1.774866413673965512e-02,2.097775426020719036e-02,-2.131341622140898312e-02
-2.882772173183538109e-02,-7.693394579271051192e-02,-4.340486929704406166e-02
-1.566027609811084659e-02,1.304295742479311994e-02,1.797984692632064244e-02
-6.835233919142758019e-02,4.562227438268533913e-02,2.050882773254047650e-02
1.767472329238660780e-02,5.076544822799583523e-02,-5.679309441887957222e-02
3.314125620385834775e-02,-4.503893702086505385e-02,-1.211057682984486780e-02
3.159300516092512778e-03,-5.317476247218137775e-02,-1.746501592182378784e-02
-2.216405553742827484e-03,2.114731772407045171e-02,4.082417476520061768e-03
-6.501264341236254185e-02,2.268267155679206185e-02,-4.731346858615748108e-02
9.004020623218081040e-03,3.955649185764986003e-02,4.632692640127784867e-02
6.298621414679519970e-02,5.377243049664334057e-02,-4.977387559056792310e-02
