accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-6.790619244922344901e-03,3.529703951292318710e-03,-9.786924493313373219e+00
-7.712472929083117245e-04,8.278351480523570135e-04,-9.803510086496382669e+00
-3.373334839959399312e-03,1.911318092212588868e-03,-9.796961668628611619e+00
-5.960778993623401349e-03,-2.946151511937343797e-03,-9.794063499815383267e+00
5.089892609359085267e-03,-4.440121437785647142e-03,-9.798997633572232857e+00
-2.114134466970661076e-03,-2.070048587025601419e-03,-9.806604260966844677e+00
-3.967070895735784215e-04,3.459310327968233029e-03,-9.800828022755242230e+00
-1.380021316373158946e-03,-4.340428167142700196e-03,-9.793152271589944391e+00
-1.506979579789319507e-03,6.171529258656807161e-03,-9.789508291142718477e+00
1.128931244606203683e-03,-9.924638576594747158e-03,-9.793132530516070133e+00
1.070385869124012082e-02,-1.862735635368015707e-03,-9.797706527220853445e+00
8.684369775607886019e-03,2.331121560923169692e-03,-9.803033740618575465e+00
9.859583933235434999e-03,5.464417038814974731e-03,-9.792520784942647438e+00
1.005867507848226365e-02,8.576115635198668444e-03,-9.785971889844606864e+00
-1.346526798685841980e-04,-3.783558559166676520e-04,-9.794500745355355420e+00
9.578980265822167840e-04,5.188717484996157626e-03,-9.792571136279871524e+00
5.690051415360975438e-03,-4.436084579807936766e-03,-9.794650181998759919e+00
7.648827198574551303e-03,-6.328664348716647910e-03,-9.792488410617680827e+00
5.737753346718683228e-03,2.436140995111945803e-03,-9.793947616318940064e+00
